rdiff_7,iqdiff_7,rdiff_9,iqdiff_9,rdiff_10,iqdiff_10,rdiff_12,iqdiff_12,rdiff_16,iqdiff_16
1,0.17,0.2,0.11,0.26,0.16,0.31,0.12,0.08,0.07
0.17,1,0.09,0.04,0.08,0.03,0.06,0.08,0.04,0.08
0.2,0.09,1,0.06,0.17,0.09,0.06,0.04,0.13,0.1
0.11,0.04,0.06,1,0.15,0.15,0.1,0.06,0.01,0.06
0.26,0.08,0.17,0.15,1,0.18,0.32,0.17,0.09,0.14
0.16,0.03,0.09,0.15,0.18,1,0.01,0.18,0,0.06
0.31,0.06,0.06,0.1,0.32,0.01,1,0.26,0.11,0.2
0.12,0.08,0.04,0.06,0.17,0.18,0.26,1,0,0.12
0.08,0.04,0.13,0.01,0.09,0,0.11,0,1,0.18
0.07,0.08,0.1,0.06,0.14,0.06,0.2,0.12,0.18,1
